,KBOX,,KENX,,AVG,,,,,,,
Date,Dir To,Dir From,Dir To ,Dir From,Dir To,Dir From,,,,,,
19970114,136.5491184,316.5491184,135.3978618,315.3978618,135.9734901,315.9734901,,,,,,
19971124,,,111.5705,297.5705,111.5705,297.5705,,,,,,
19980312,,,95.99345167,275.9934517,95.99345167,275.9934517,,,,,,
19991129,57.88509646,237.8850965,106.6342728,286.6342728,82.25968463,262.2596846,,,,,,
19991224,15.61703584,195.6170358,112.8272888,292.8272888,64.22216231,244.2221623,,,,,,
20000116,,,120.4366762,300.4366762,120.4366762,300.4366762,,,,,,
20000202,115.4070153,295.4070153,121.9174564,301.9174564,118.6622359,298.6622359,,,,,,
20000206,119.4383498,299.4383498,123.9125146,303.9125146,121.6754322,301.6754322,,,,,,
20001207,,,110.556,290.556,110.556,290.556,,,,,,
20010203,70.43157514,250.4315751,103.4310289,283.4310289,86.931302,266.931302,,,,,,
20010223,117.3955806,297.3955806,106.8450338,286.8450338,112.1203072,292.1203072,,,,,,
20020213,nan,nan,104.7688634,284.7688634,104.7688634,284.7688634,,,,,,
20030113,112.3029,292.3029,nan,nan,112.3029,292.3029,,,,,,
20030209,nan,nan,125.173088,305.173088,125.173088,305.173088,,,,,,
20031202,124.5653,304.5653,109.1287397,289.1287397,116.8470199,296.8470199,,,,,,
20040106,109.0701,289.0701,99.45720011,279.4572001,104.2636501,284.2636501,,,,,,
20040113,78.17030502,258.170305,111.526,291.526,94.84815251,274.8481525,,,,,,
20040122,98.26289819,278.2628982,113.1986,293.1986,105.7307491,285.7307491,,,,,,
20041217,152.5262,332.5262,99.60520416,279.6052042,126.0657021,306.0657021,,,,,,
20060206,122.3269,302.3269,52.21603,232.216,87.271465,267.27145,,,,,,
20060218,100.7365,280.7365,114.6993,294.6993,107.7179,287.7179,,,,,,
20060315,100.8596,280.8596,100.2912671,280.2912671,100.5754336,280.5754336,,,,,,
20070124,102.0206,282.0206,107.6973979,287.6973979,104.858999,284.858999,,,,,,
20070129,156.388,336.388,,,156.388,336.388,,,,,,
20070205,,,114.2277453,294.2277453,57.11387266,147.1138727,,,,,,
20070305,109.1623053,289.1623053,76.51173572,256.5117357,92.83702051,272.8370205,,,,,,
20071201,100.6196553,280.6196553,86.82990413,266.8299041,93.7247797,273.7247797,,,,,,
20080215,,,102.4102707,282.4102707,102.4102707,282.4102707,,,,,,
20081222,2.683775159,182.6837752,105.5928109,285.5928109,54.13829305,234.138293,,,,,,
20090131,27.36379,207.3638,19.65382406,199.6538241,23.50880703,203.508812,,,,,,
20090322,113.630251,293.630251,nan,nan,113.630251,293.630251,,,,,,
20090324,168.9753,348.9753,,,84.48765,348.9753,,,,,,
20091216,136.5817,316.5817,119.925817,299.925817,128.2537585,308.2537585,,,,,,
20100219,149.6926118,329.6926118,111.2464,291.2464,130.4695059,310.4695059,,,,,,
20110219,140.1944,320.1944,135,315,137.5972,317.5972,,,,,,
20110302,124.6666982,304.6666982,115.5681795,295.5681795,120.1174389,300.1174389,,,,,,
20111217,,,108.4349488,288.4349488,54.21747441,144.2174744,,,,,,
20120310,135,315,105.5241,285.5241,120.26205,300.26205,,,,,,
20121201,93.6696,273.6696,104.0362435,284.0362435,98.85292173,278.8529217,,,,,,
20130129,165.2673792,345.2673792,55.505468,235.505468,110.3864236,290.3864236,,,,,,
20130303,241.1921,61.19211,206.5651,26.5651,223.8786,43.878605,,,,,,
20130305,242.1134,62.1134,183.1798,3.17983,212.6466,32.646615,,,,,,
20130316,105.7512,285.7512,108.6174,288.6174,107.1843,287.1843,,,,,,
20130321,37.80519617,217.8051962,7.524206277,187.5242063,22.66470122,202.6647012,,,,,,
20140227,104.8724,284.8724,106.8450338,286.8450338,105.8587169,285.8587169,,,,,,
20150122,21.74628212,201.7462821,35.27594369,215.2759437,28.51111291,208.5111129,,,,,,
20150212,71.5651,251.5651,31.63631913,211.6363191,51.60070957,231.6007096,,,,,,
20150213,143.2785357,323.2785357,33.02373819,213.0237382,88.15113694,268.1511369,,,,,,
20150219,97.30576,277.3058,31.87487882,211.8748788,64.59031941,244.5903394,,,,,,
20160114,,,108.9526254,288.9526254,54.47631271,144.4763127,,,,,,
20160118,109.9029,289.9029,131.2026783,311.2026783,120.5527892,300.5527892,,,,,,
20161215,118.719781,298.719781,88.5066815,268.5066815,103.6132313,283.6132313,,,,,,
20161216,105.2053533,285.2053533,99.96142894,279.9614289,102.5833911,282.5833911,,,,,,
20161230,101.5477472,281.5477472,,,101.5477472,281.5477472,,,,,,
20170105,136.5662268,316.5662268,57.26477373,237.2647737,96.91550028,276.9155003,,,,,,
20170205,56.49261498,236.492615,125.3947958,305.3947958,90.94370541,270.9437054,,,,,,
20170311,131.6993482,311.6993482,125.217593,305.217593,128.4584706,308.4584706,,,,,,
20170322,114.1832303,294.1832303,109.9831,289.9831,120.8759112,300.8759112,,,,,,
20180109,118.9166986,298.9166986,126.8698976,306.8698976,122.8932981,302.8932981,,,,,,
20180310,115.5479308,295.5479308,,,115.5479308,295.5479308,,,,,,
